Timestamp (s),lon,lat,GSR Value,Distance (cm)
234,-0.006725246,51.52936002,250,341.37
235,-0.006716185,51.52941089,239,291.53
236,-0.006712735,51.52946194,243,332.41
237,-0.006711898,51.52951358,259,397.4
238,-0.006708575,51.52956528,234,270.47
239,-0.006712664,51.52961234,260,392.44
240,-0.006711558,51.52966022,251,350.04
241,-0.006711351,51.52971493,244,305.64
242,-0.006708529,51.52976739,237,284.8
243,-0.006701765,51.52982112,232,262.44
244,-0.006703532,51.52987311,239,309.49
245,-0.006698927,51.52992656,257,399.53
246,-0.006708626,51.52997722,251,374.97
247,-0.006755794,51.53001135,258,370.53
248,-0.00683615,51.53001618,223,186.23
249,-0.006918039,51.53001587,246,303.91
250,-0.007004349,51.53001279,255,396.44
251,-0.00709244,51.5300134,244,338.91
252,-0.007168532,51.53001098,244,330.79
253,-0.007244158,51.53000808,244,309.33
254,-0.007324103,51.53001214,249,338.09
255,-0.007367223,51.5299708,241,313.09
256,-0.007419398,51.52993959,260,376.47
257,-0.007511264,51.52992962,238,262.73
258,-0.007583745,51.52993925,241,285.23
259,-0.007669017,51.52994316,238,297.34
260,-0.007760066,51.52992852,252,348.02
261,-0.007828291,51.52991241,248,328.07
262,-0.00790257,51.52989195,249,327.71
263,-0.007977064,51.52987877,255,372.28
264,-0.008048712,51.52986722,235,272.7
265,-0.008121448,51.52985388,239,309.06
266,-0.008196592,51.52983422,239,279.2
267,-0.008269512,51.52982453,246,338.63
268,-0.00832612,51.52979613,251,333.4
269,-0.00839837,51.52977301,257,394.77
270,-0.008468257,51.5297568,244,305.58
271,-0.008550429,51.52974654,251,345.58
272,-0.008625361,51.52973269,260,376.52
273,-0.008698812,51.52971877,243,290.55
274,-0.008784441,51.5297098,235,283.89
275,-0.008863739,51.52972072,238,278.55
276,-0.008897806,51.52977555,259,386.86
277,-0.008920741,51.52982008,248,339.4
278,-0.008946383,51.52986983,242,321.11
279,-0.008985748,51.52991727,250,357.95
280,-0.009019822,51.5299675,255,376.55
281,-0.009036313,51.53002215,249,319.49
282,-0.009060487,51.53007485,234,272.08
283,-0.009077104,51.53012023,233,273.9
284,-0.009109963,51.53016855,257,366.44
285,-0.009137849,51.53021392,246,302.07
286,-0.009173911,51.53026037,248,317.47
287,-0.009220758,51.53030824,242,313.44
288,-0.009245877,51.53036192,249,335.87
289,-0.009268177,51.53041229,250,358.1
290,-0.009288248,51.530456,247,317.17
291,-0.009302907,51.53051205,237,306.76
292,-0.009322844,51.53055906,236,281.18
293,-0.009330403,51.53060529,249,336.44
294,-0.009346019,51.53065835,241,275.97
295,-0.009347423,51.53071142,240,282.49
296,-0.009326539,51.53076295,238,286.08
297,-0.009316932,51.53081416,241,290.86
298,-0.009316093,51.53087008,253,376.06
299,-0.009320228,51.53091698,238,283.59
300,-0.009319764,51.53096998,250,338.73
301,-0.009327741,51.53102441,247,331.61
302,-0.009336668,51.53107749,251,339.22
303,-0.009372833,51.5311227,253,379.84
304,-0.009400868,51.53117815,237,268.92
305,-0.009415864,51.53123137,254,362.03
306,-0.009406287,51.53128337,251,359.58
307,-0.009384777,51.53132759,246,351.86
308,-0.009381296,51.53137287,252,334.31
309,-0.009384932,51.53142881,246,300.9
310,-0.009369416,51.53147584,255,356.73
311,-0.009340492,51.53151889,242,292.95
312,-0.009322381,51.53156604,243,302.4
313,-0.009284785,51.53161551,242,313.5
314,-0.009236253,51.53166381,247,338.49
315,-0.009190757,51.53170762,241,284.97
316,-0.009143302,51.53175385,229,258.23
317,-0.009123895,51.53179987,235,294.71
318,-0.009138559,51.5318541,252,376.65
319,-0.009156391,51.53190733,237,258.49
320,-0.009164539,51.53195454,249,367.07
321,-0.009155603,51.53200668,235,276.77
322,-0.009187394,51.53205328,246,333.58
323,-0.00921243,51.53209929,259,392.66
324,-0.009273615,51.5321324,255,373.53
325,-0.00935106,51.53212883,251,352.51
